PLCY_DTL_ID,CUST_ID,PLCY_NO,PLCY_STRT_DT,PLCY_END_DT,PLCY_PREMIUM_AMT,PLCY_PAYMENT_STATUS,PLCY_CLAIM_LIMIT,RISK_LEVEL,BUSINESS_TYPE
1001,3601,COF3591658,2020-01-09,2021-01-08,1625.04,Delinquent,8000.0,Low,Technology Solutions
1002,3601,COF3877963,2021-01-09,2022-01-09,1206.14,Paid,8000.0,Low,Technology Solutions
1003,3602,COF9727572,2016-12-15,2017-12-15,1479.31,Paid,8000.0,Low,Consulting
1004,3602,COF6370242,2017-12-16,2018-12-16,1084.19,Paid,8000.0,Low,Consulting
1005,3603,COF8009719,2015-03-18,2016-03-17,4339.55,Paid,10000.0,Medium,Global Trade
1006,3604,COF6966039,2007-07-20,2008-07-19,1319.67,Paid,8000.0,Low,Technology Solutions
1007,3604,COF6902247,2008-07-20,2009-07-20,1242.5,Paid,8000.0,Low,Technology Solutions
1008,3604,COF4373354,2009-07-21,2010-07-21,1861.0,Paid,8000.0,Low,Technology Solutions
1009,3605,COF9429239,2008-09-19,2009-09-19,1278.8,Paid,8000.0,Low,Technology Solutions
1010,3606,COF9636638,2012-01-23,2013-01-22,1042.66,Paid,8000.0,Low,Financial Services
1011,3606,COF2476332,2013-01-23,2014-01-23,1677.22,Paid,8000.0,Low,Financial Services
1012,3606,COF5191346,2014-01-24,2015-01-24,1960.46,Paid,8000.0,Low,Financial Services
1013,3607,COF4252707,2009-05-07,2010-05-07,1304.17,Paid,8000.0,Low,Technology Solutions
1014,3608,COF9141489,2023-11-08,2024-11-07,1264.63,Paid,8000.0,Low,Financial Services
1015,3609,COF7551739,2013-10-28,2014-10-28,1126.4,Paid,8000.0,Low,Consulting
1016,3609,COF1182062,2014-10-29,2015-10-29,1607.53,Paid,8000.0,Low,Consulting
1017,3610,COF6056568,2009-04-23,2010-04-23,3121.77,Paid,10000.0,Medium,Entertainment Group
1018,3610,COF5985177,2010-04-24,2011-04-24,4870.49,Paid,10000.0,Medium,Entertainment Group
1019,3610,COF9377198,2011-04-25,2012-04-24,3139.0,Paid,10000.0,Medium,Entertainment Group
1020,3611,COF7659328,2019-01-13,2020-01-13,4196.15,Paid,10000.0,Medium,Retail Group
1021,3611,COF3656820,2020-01-14,2021-01-13,3930.82,Paid,10000.0,Medium,Retail Group
1022,3611,COF2894367,2021-01-14,2022-01-14,3684.33,Paid,10000.0,Medium,Retail Group
1023,3612,COF1503945,2017-04-01,2018-04-01,1541.41,Paid,8000.0,Low,Consulting
1024,3612,COF5414904,2018-04-02,2019-04-02,1724.72,Paid,8000.0,Low,Consulting
1025,3612,COF5450597,2019-04-03,2020-04-02,1851.5,Paid,8000.0,Low,Consulting
1026,3613,COF8862959,2019-10-05,2020-10-04,1007.13,Delinquent,8000.0,Low,Consulting
1027,3614,COF4271352,2007-12-16,2008-12-15,1476.72,Paid,8000.0,Low,Consulting
1028,3614,COF6672073,2008-12-16,2009-12-16,1557.57,Paid,8000.0,Low,Consulting
1029,3614,COF9143329,2009-12-17,2010-12-17,1685.03,Paid,8000.0,Low,Consulting
1030,3615,COF5952988,2010-06-08,2011-06-08,1722.09,Paid,8000.0,Low,Technology Solutions
1031,3615,COF9170747,2011-06-09,2012-06-08,1534.33,Delinquent,8000.0,Low,Technology Solutions
1032,3615,COF9292763,2012-06-09,2013-06-09,1789.41,Paid,8000.0,Low,Technology Solutions
1033,3616,COF3698166,2019-12-20,2020-12-19,1684.06,Paid,8000.0,Low,Technology Solutions
1034,3616,COF5827216,2020-12-20,2021-12-20,1881.34,Paid,8000.0,Low,Technology Solutions
1035,3617,COF7935163,2024-05-09,2025-05-09,1338.52,Paid,8000.0,Low,Financial Services
1036,3618,COF4481064,2007-08-04,2008-08-03,1504.82,Paid,8000.0,Low,Financial Services
1037,3618,COF2343950,2008-08-04,2009-08-04,1547.08,Paid,8000.0,Low,Financial Services
1038,3618,COF9710507,2009-08-05,2010-08-05,1450.68,Paid,8000.0,Low,Financial Services
1039,3619,COF7746620,2017-02-08,2018-02-08,1437.82,Paid,8000.0,Low,Financial Services
1040,3619,COF2945605,2018-02-09,2019-02-09,1569.33,Paid,8000.0,Low,Financial Services
1041,3619,COF7684664,2019-02-10,2020-02-10,1309.89,Paid,8000.0,Low,Financial Services
1042,3620,COF3481788,2011-12-09,2012-12-08,3836.41,Paid,10000.0,Medium,Retail Group
1043,3621,COF3018495,2023-12-27,2024-12-26,1237.55,Paid,8000.0,Low,Technology Solutions
1044,3621,COF2841014,2024-12-27,2025-12-27,1514.15,Paid,8000.0,Low,Technology Solutions
1045,3622,COF6322704,2023-12-15,2024-12-14,1369.57,Paid,8000.0,Low,Consulting
1046,3623,COF3432421,2016-02-13,2017-02-12,3541.39,Paid,10000.0,Medium,Entertainment Group
1047,3623,COF6741001,2017-02-13,2018-02-13,3401.62,Paid,10000.0,Medium,Entertainment Group
1048,3623,COF5925410,2018-02-14,2019-02-14,3129.76,Paid,10000.0,Medium,Entertainment Group
1049,3624,COF4739380,2022-02-04,2023-02-04,4325.63,Paid,10000.0,Medium,Retail Group
1050,3624,COF6988348,2023-02-05,2024-02-05,4607.95,Paid,10000.0,Medium,Retail Group
1051,3625,COF4293514,2016-05-31,2017-05-31,1844.61,Paid,8000.0,Low,Financial Services
1052,3625,COF1931541,2017-06-01,2018-06-01,1605.15,Delinquent,8000.0,Low,Financial Services
1053,3626,COF2456994,2018-12-17,2019-12-17,3511.13,Paid,10000.0,Medium,Entertainment Group
1054,3627,COF5375759,2022-01-06,2023-01-06,1994.57,Paid,8000.0,Low,Financial Services
1055,3627,COF6002221,2023-01-07,2024-01-07,1344.96,Paid,8000.0,Low,Financial Services
1056,3628,COF5743695,2015-11-03,2016-11-02,3339.52,Paid,10000.0,Medium,Global Trade
1057,3628,COF7093591,2016-11-03,2017-11-03,4575.25,Paid,10000.0,Medium,Global Trade
1058,3628,COF1058359,2017-11-04,2018-11-04,4649.04,Paid,10000.0,Medium,Global Trade
1059,3629,COF8749427,2019-08-20,2020-08-19,1839.45,Paid,8000.0,Low,Technology Solutions
1060,3629,COF7874899,2020-08-20,2021-08-20,1910.7,Paid,8000.0,Low,Technology Solutions
1061,3629,COF9359500,2021-08-21,2022-08-21,1648.99,Paid,8000.0,Low,Technology Solutions
1062,3630,COF3068976,2015-03-24,2016-03-23,1874.38,Paid,8000.0,Low,Consulting
1063,3630,COF6541433,2016-03-24,2017-03-24,1725.67,Paid,8000.0,Low,Consulting
1064,3630,COF5429834,2017-03-25,2018-03-25,1870.6,Paid,8000.0,Low,Consulting
1065,3631,COF1850927,2010-03-09,2011-03-09,4634.45,Paid,10000.0,Medium,Hospitality
1066,3632,COF1642426,2019-12-13,2020-12-12,1222.32,Paid,8000.0,Low,Consulting
1067,3632,COF5629396,2020-12-13,2021-12-13,1202.39,Paid,8000.0,Low,Consulting
1068,3633,COF5663325,2012-04-27,2013-04-27,4809.0,Paid,10000.0,Medium,Hospitality
1069,3633,COF4707889,2013-04-28,2014-04-28,4867.53,Paid,10000.0,Medium,Hospitality
1070,3633,COF8362905,2014-04-29,2015-04-29,3121.88,Delinquent,10000.0,Medium,Hospitality
1071,3634,COF4182033,2022-01-17,2023-01-17,1751.53,Paid,8000.0,Low,Technology Solutions
1072,3634,COF4526413,2023-01-18,2024-01-18,1821.51,Paid,8000.0,Low,Technology Solutions
1073,3634,COF5207390,2024-01-19,2025-01-18,1582.22,Delinquent,8000.0,Low,Technology Solutions
1074,3635,COF2275858,2014-05-07,2015-05-07,4091.91,Delinquent,10000.0,Medium,Hospitality
1075,3635,COF1277300,2015-05-08,2016-05-07,4876.36,Paid,10000.0,Medium,Hospitality
1076,3636,COF6123865,2011-02-17,2012-02-17,4291.86,Paid,10000.0,Medium,Hospitality
1077,3636,COF1948343,2012-02-18,2013-02-17,3206.58,Paid,10000.0,Medium,Hospitality
1078,3636,COF3213462,2013-02-18,2014-02-18,4831.16,Paid,10000.0,Medium,Hospitality
1079,3637,COF2360010,2019-05-15,2020-05-14,4846.14,Paid,10000.0,Medium,Education
1080,3638,COF8551086,2021-10-22,2022-10-22,7125.2,Paid,12000.0,High,Healthcare Partners
1081,3639,COF4963272,2023-08-02,2024-08-01,1316.96,Delinquent,8000.0,Low,Consulting
1082,3639,COF7815634,2024-08-02,2025-08-02,1636.22,Paid,8000.0,Low,Consulting
